journal_name,articles,preprint,postprint,pdf,abbreviation,price,price_source,price_note,society_price,institutional_price
Aggression and Violent Behavior,136,can,can,cannot,Aggress Violent Behav,176,https://www.elsevier.com/journals/personal/aggression-and-violent-behavior/1359-1789,,FALSE,FALSE
American Journal of Criminal Justice,159,can,can,cannot,Am J Crim Justice,99,https://www.springer.com/journal/12103,,FALSE,FALSE
Asian Journal of Criminology,65,can,can,cannot,Asian J Criminol,99,https://link.springer.com/journal/11417,,FALSE,FALSE
Australian & New Zealand Journal of Criminology,85,can,can,cannot,Aust N Z J Criminol,108.750635,https://anzsoc.org/membership/,via ANZSOC membershp,FALSE,FALSE
Behavioral Sciences of Terrorism and Political Aggression,70,can,can,cannot,Behav Sci Terror Polit Aggress,94.14443800000001,https://www.tandfonline.com/pricing/journal/rirt20,print,FALSE,FALSE
British Journal of Criminology,51,can,can,cannot,Br J Criminol,58.674526500000006,https://www.britsoccrim.org/membership/,combined subscription via BSC membership,TRUE,FALSE
Cambridge Journal of Evidence-Based Policing,37,can,can,cannot,Cambridge J Evid Based Policing,NA,,hybrid journal but all articles gold OA,FALSE,FALSE
Child Abuse & Neglect,418,can,can,cannot,Child Abuse Negl,389,https://www.elsevier.com/journals/personal/child-abuse-and-neglect/0145-2134,,FALSE,FALSE
Contemporary Justice Review,106,can,can,cannot,Contemp Justice Rev,229.39419400000003,https://www.tandfonline.com/pricing/journal/gcjr20,print,FALSE,FALSE
Corrections,93,can,can,cannot,Corrections,102.100306,https://www.tandfonline.com/pricing/journal/ucor20,print,FALSE,FALSE
Crime & Delinquency,192,can,can,cannot,Crime Delinq,231,https://us.sagepub.com/en-us/nam/crime-delinquency/journal200959#subscribe,,FALSE,FALSE
Crime and Justice,22,can,can,can,Crime Justice,68,https://www.press.uchicago.edu/ucp/journals/subscribe/cj.html,,FALSE,FALSE
Crime Prevention and Community Safety,72,can,can,cannot,Crime Prev Community Saf,209,https://link.springer.com/journal/41300,,FALSE,FALSE
Crime Psychology Review,13,can,can,cannot,Crime Psychol Rev,NA,,journal has ceased publishing,FALSE,FALSE
Crime Science,47,can,can,can,Crime Sci,0,,gold OA journal,FALSE,FALSE
"Crime, Law and Social Change",218,can,can,cannot,Crime Law Soc Change,99,https://www.springer.com/journal/10611,,FALSE,FALSE
"Crime, Media, Culture",112,can,can,cannot,Crime Media Cult,104,https://us.sagepub.com/en-us/nam/journal/crime-media-culture#subscribe,print,FALSE,FALSE
Criminal Behavior and Mental Health,104,can,restricted,cannot,NA,NA,NA,NA,NA,NA
Criminal Justice and Behavior,239,can,can,cannot,Crim Justice Behav,75,https://us.sagepub.com/en-us/nam/journal/criminal-justice-and-behavior#subscribe,only available via society membership,FALSE,FALSE
Criminal Justice Ethics,56,can,can,cannot,Crim Justice Ethics,53.039120000000004,https://www.tandfonline.com/pricing/journal/rcre20,,FALSE,FALSE
Criminal Justice Matters,26,can,can,cannot,Crim Justice Matters,0,,free,FALSE,FALSE
Criminal Justice Policy Review,106,can,can,cannot,Crim Justice Policy Rev,147,https://us.sagepub.com/en-us/nam/criminal-justice-policy-review/journal201357#subscribe,,FALSE,FALSE
Criminal Justice Review,150,can,can,cannot,Crim Justice Rev,50,https://us.sagepub.com/en-us/nam/criminal-justice-review/journal201726#subscribe,,FALSE,FALSE
Criminal Justice Studies,80,can,can,cannot,Crim Justice Stud,200.222678,https://www.tandfonline.com/pricing/journal/gjup20,print,FALSE,FALSE
Criminology,95,can,restricted,cannot,Criminology,52.5,,combined subscription via ASC membership,TRUE,FALSE
Criminology & Criminal Justice,126,can,can,cannot,Criminol Crim Justice,58.674526500000006,https://www.britsoccrim.org/membership/,combined subscription via BSC membership,TRUE,FALSE
